x,y
1,15.483570765056164
2,15.308678494144077
3,22.23844269050346
4,29.61514928204013
5,23.829233126383322
6,26.8293152152541
7,38.896064077536955
8,37.837173645764544
9,34.65262807032524
10,42.712800217929825
11,40.68291153593769
12,43.671351232148716
13,50.20981135783017
14,42.43359877671101
15,46.375410837434835
16,55.188562353795135
17,55.93584439832788
18,65.57123666297637
19,62.45987962239394
20,62.93848149332354
21,80.32824384460777
22,74.87111849756732
23,79.33764102343962
24,74.87625906893271
25,82.27808637737408
26,88.55461294854933
27,85.24503211288848
28,95.87849009172837
29,93.99680655040598
30,98.54153125103362
31,99.99146693885301
32,115.26139092254469
33,108.93251387631032
34,106.71144535522049
35,119.11272456051594
36,111.89578175014489
37,122.04431797502377
38,114.20164938060113
39,120.35906975550785
40,130.98430617934562
41,136.69233289997706
42,136.85684140594987
43,138.4217585880588
44,140.49448152205355
45,137.60739004816287
46,144.40077895802645
47,148.69680614520107
48,159.28561113109458
49,158.7180914478423
50,151.18479922318633
